Depth,qt_MPa,fs_MPa,Location,Location_key,Depth_key
0.02,1.1429066,0.0,R3,R3,0.0
0.04,0.6536078000000001,0.0,R3,R3,0.0
0.06,0.733309,0.001,R3,R3,0.1
0.08,0.6140102,0.003,R3,R3,0.1
0.1,0.5837114000000001,0.002,R3,R3,0.1
0.12,0.6234126000000001,0.002,R3,R3,0.1
0.14,0.4341138,0.001,R3,R3,0.1
0.16,0.7045650000000001,0.002,R3,R3,0.2
0.18,0.8942661999999999,0.001,R3,R3,0.2
0.2,0.9952174,0.002,R3,R3,0.2
0.22,1.3344186,0.002,R3,R3,0.2
0.24,1.3256198,0.003,R3,R3,0.2
0.26,1.5560710000000002,0.002,R3,R3,0.3
0.28,1.6760222000000002,0.002,R3,R3,0.3
0.3,1.7162234,0.003,R3,R3,0.3
0.32,1.6966746,0.002,R3,R3,0.3
0.34,1.6266258,0.004,R3,R3,0.3
0.36,1.587327,0.003,R3,R3,0.4
0.38,1.6267782000000002,0.003,R3,R3,0.4
0.4,1.6877293999999998,0.004,R3,R3,0.4
0.42,1.9171806,0.004,R3,R3,0.4
0.44,2.0581318,0.005,R3,R3,0.4
0.46,2.238333,0.004,R3,R3,0.5
0.48,2.2887842,0.004,R3,R3,0.5
0.5,2.5587354,0.005,R3,R3,0.5
0.52,2.7489366,0.004,R3,R3,0.5
0.54,3.0596378,0.005,R3,R3,0.5
0.56,3.148839,0.005,R3,R3,0.6
0.58,3.0197902,0.004,R3,R3,0.6
0.6,2.8794914,0.006,R3,R3,0.6
0.62,2.8096926,0.006,R3,R3,0.6
0.64,2.7306437999999997,0.008,R3,R3,0.6
0.66,2.701345,0.008,R3,R3,0.7
0.68,2.7305461999999996,0.009,R3,R3,0.7
0.7,2.6417474000000003,0.009,R3,R3,0.7
0.72,2.6619486,0.008,R3,R3,0.7
0.74,2.7521498,0.007,R3,R3,0.7
0.76,2.832101,0.008,R3,R3,0.8
0.78,2.8525522,0.008,R3,R3,0.8
0.8,2.8420034,0.009,R3,R3,0.8
0.82,2.7929546,0.009,R3,R3,0.8
0.84,2.6526558,0.012,R3,R3,0.8
0.86,2.5538570000000003,0.015,R3,R3,0.9
0.88,2.4035581999999995,0.016,R3,R3,0.9
0.9,2.2747594,0.016,R3,R3,0.9
0.92,2.2252106,0.017,R3,R3,0.9
0.94,2.2959118000000003,0.019,R3,R3,0.9
0.96,2.7853630000000003,0.012,R3,R3,1.0
0.98,3.6458142,0.011,R3,R3,1.0
1.0,4.175265400000001,0.011,R3,R3,1.0
1.02,4.644716600000001,0.012,R3,R3,1.0
1.04,4.8951678,0.014,R3,R3,1.0
1.06,5.375369,0.014,R3,R3,1.1
1.08,5.7155702,0.015,R3,R3,1.1
1.1,6.346271400000001,0.016,R3,R3,1.1
1.12,6.9767226,0.02,R3,R3,1.1
1.14,7.4366738,0.022,R3,R3,1.1
1.16,8.007125,0.021,R3,R3,1.2
1.18,8.4873262,0.022,R3,R3,1.2
1.2,8.8775274,0.021,R3,R3,1.2
1.22,9.277478600000002,0.022,R3,R3,1.2
1.24,9.8981798,0.023,R3,R3,1.2
1.26,10.357631,0.023,R3,R3,1.3
1.28,10.5483322,0.024,R3,R3,1.3
1.3,10.6780334,0.024,R3,R3,1.3
1.32,10.8292346,0.025,R3,R3,1.3
1.34,11.1486858,0.029,R3,R3,1.3
1.36,11.349887,0.031,R3,R3,1.4
1.38,11.3498382,0.04,R3,R3,1.4
1.4,11.0002894,0.046,R3,R3,1.4
1.42,10.5809906,0.05,R3,R3,1.4
1.44,10.2309418,0.049,R3,R3,1.4
1.46,10.090643,0.046,R3,R3,1.5
1.48,10.0510942,0.043,R3,R3,1.5
1.5,9.9607954,0.043,R3,R3,1.5
1.52,9.9019966,0.041,R3,R3,1.5
1.54,9.8314478,0.042,R3,R3,1.5
1.56,9.912899,0.046,R3,R3,1.6
1.58,9.952850200000002,0.05,R3,R3,1.6
1.6,10.0433014,0.053,R3,R3,1.6
1.62,10.3232526,0.054,R3,R3,1.6
1.64,10.6034538,0.053,R3,R3,1.6
1.66,11.174155,0.051,R3,R3,1.7
1.68,11.6731062,0.046,R3,R3,1.7
1.7,11.9535574,0.044,R3,R3,1.7
1.72,12.2137586,0.045,R3,R3,1.7
1.74,12.223709800000002,0.046,R3,R3,1.7
1.76,12.024911,0.048,R3,R3,1.8
1.78,11.7353622,0.05,R3,R3,1.8
1.8,11.5255634,0.051,R3,R3,1.8
1.82,11.1360146,0.052,R3,R3,1.8
1.84,10.7859658,0.054,R3,R3,1.8
1.86,10.366167,0.061,R3,R3,1.9
1.88,10.1763682,0.065,R3,R3,1.9
1.9,10.0073194,0.067,R3,R3,1.9
1.92,9.7565206,0.067,R3,R3,1.9
1.94,9.6067218,0.067,R3,R3,1.9
1.96,9.166923,0.068,R3,R3,2.0
1.98,8.948124199999999,0.067,R3,R3,2.0
2.0,8.577575399999999,0.066,R3,R3,2.0
